metodo,tempo,iteracoes
mergeSort_2048_numeros,1397100,99162
mergeSort_1048576_numeros,436367600,88456504
mergeSort_32_numeros,25700,772
mergeSort_2048_numeros,667800,99154
mergeSort_1048576_numeros,441802000,88455892
mergeSort_32_numeros,32600,788
mergeSort_2048_numeros,2071100,99316
mergeSort_1048576_numeros,520490300,88455882
mergeSort_32_numeros,34500,774
mergeSort_2048_numeros,1642400,99208
mergeSort_1048576_numeros,421527500,88455644
mergeSort_32_numeros,33300,780
mergeSort_2048_numeros,1018800,99194
mergeSort_1048576_numeros,428448100,88456132
mergeSort_32_numeros,32500,778
mergeSort_2048_numeros,1399300,99264
mergeSort_1048576_numeros,418102200,88458394
mergeSort_32_numeros,34100,782
mergeSort_2048_numeros,548200,99268
mergeSort_1048576_numeros,414196700,88454334
mergeSort_32_numeros,33900,786
mergeSort_2048_numeros,1806200,99194
mergeSort_1048576_numeros,428876200,88458882
mergeSort_32_numeros,21700,762
mergeSort_2048_numeros,1173000,99298
mergeSort_1048576_numeros,408768400,88454574
mergeSort_32_numeros,31800,776
mergeSort_2048_numeros,1186000,99216
mergeSort_1048576_numeros,432544100,88455236
mergeSort_32_numeros,24200,788
mergeSort_2048_numeros,1414400,99160
mergeSort_1048576_numeros,407397100,88453638
mergeSort_32_numeros,34400,784
mergeSort_2048_numeros,1475500,99264
mergeSort_1048576_numeros,491846500,88454846
mergeSort_32_numeros,33700,780
mergeSort_2048_numeros,1643500,99130
mergeSort_1048576_numeros,450750200,88458020
mergeSort_32_numeros,44000,780
mergeSort_2048_numeros,2635100,99266
mergeSort_1048576_numeros,487516500,88454496
mergeSort_32_numeros,33400,790
mergeSort_2048_numeros,1022700,99238
mergeSort_1048576_numeros,408572300,88458466
mergeSort_32_numeros,32000,778
mergeSort_2048_numeros,1584600,99156
mergeSort_1048576_numeros,421176000,88453212
mergeSort_32_numeros,30800,780
mergeSort_2048_numeros,1575600,99186
mergeSort_1048576_numeros,419847800,88455482
mergeSort_32_numeros,33100,786
mergeSort_2048_numeros,1409800,99216
mergeSort_1048576_numeros,418436800,88457270
mergeSort_32_numeros,33900,780
mergeSort_2048_numeros,1049400,99198
mergeSort_1048576_numeros,435694600,88452088
mergeSort_32_numeros,24400,778
mergeSort_2048_numeros,1012900,99176
mergeSort_1048576_numeros,432850300,88455298
mergeSort_32_numeros,32600,782
mergeSort_2048_numeros,662900,99180
mergeSort_1048576_numeros,408303700,88454630
mergeSort_32_numeros,21800,780
mergeSort_2048_numeros,863300,99186
mergeSort_1048576_numeros,424778800,88455320
mergeSort_32_numeros,21000,774
mergeSort_2048_numeros,638800,99310
mergeSort_1048576_numeros,408510600,88455766
mergeSort_32_numeros,31800,772
mergeSort_2048_numeros,845300,99196
mergeSort_1048576_numeros,448550100,88456960
